Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"processed water to river, regionalized, FR",m3,kg,1000.0,added,f7f7f792-5e64-40c3-8a9a-7a73c0e347f9
"lake water, regionalized, SG",m3,kg,1000.0,added,f887c566-e290-4706-83b0-1523da7b16d5
"river water, regionalized, PK",m3,kg,1000.0,added,f8c28a84-08ab-45ac-8068-8b8b343ebd46
"lake water, regionalized, AU",m3,kg,1000.0,added,f95319ce-6d9d-4f52-bf8c-98c1561b84fe
"collected rainwater to lake, regionalized, ZA",m3,kg,1000.0,added,f989e897-3980-4752-870e-631a56a8fe01
"lake water, regionalized, MY",m3,kg,1000.0,added,f9f347f8-66b5-47e6-917f-d4cedd98e37d
"cooling water to river, regionalized, ZA",m3,kg,1000.0,added,fa0a5298-507c-469f-91f7-c99f3282d1b1
"river water, regionalized, IT",m3,kg,1000.0,added,fa19343e-bc7b-490b-8ec7-9436362d4796
"processed water to groundwater, regionalized, SK",m3,kg,1000.0,added,fa65642e-c625-40d2-a1b4-bde55a9e7f08
"lake water to turbine, regionalized, BG",m3,kg,1000.0,added,fa9470ee-6d4b-446e-a1c0-c7da7fdbc36b
"turbined water to lake, regionalized, BG",m3,kg,1000.0,added,fab725bd-1535-4f3f-b31c-a13fafce273f
"fresh water, regionalized, TH",m3,kg,1000.0,added,fb008e96-daae-46db-8fdf-949973cd1261
"river water, regionalized, LV",m3,kg,1000.0,added,fba5f9fc-7efe-4929-9ab2-45fd384c1c8b
"ground water, regionalized, MY",m3,kg,1000.0,added,fbca689b-3823-4afb-a1e9-a4e046d0681a
"ground water, regionalized, PT",m3,kg,1000.0,added,fc14fc47-db84-4522-969a-3bbcab18ef17
"freshwater, extreme scarcity",kg,m3,0.0010,added,fc3f76ab-afb1-4f23-994e-250533b62c9e
"river water to turbine, regionalized, IT",m3,kg,1000.0,added,fcaa8cbb-8989-41e0-8041-351f73280353
"fresh water, regionalized, UZ",m3,kg,1000.0,added,fccadecf-e27a-4f6b-be95-063e7c35b208
"lake water,  high scarcity",m3,kg,1000.0,added,fcddd887-3042-4dfa-95b2-7ffbc440a72d
ground water,m3,kg,1000.0,added,fe0acd60-3ddc-11dd-ae59-0050c2490048
lake water,kg,m3,0.0010,added,fe0acd60-3ddc-11dd-ae5a-0050c2490048
lake water,m3,kg,1000.0,added,fe0acd60-3ddc-11dd-ae5a-0050c2490048
"fresh water, regionalized, RU",m3,kg,1000.0,added,fe1d25ac-8d56-40c1-980e-16e21addf4cc
"Water (river water from technosphere, cooling water)",m3,kg,1000.0,added,fe8cb884-db2d-4a58-a00e-6979299f5de5
"lake water to turbine, regionalized, LK",m3,kg,1000.0,added,ff865cb7-d640-4727-a4ad-a0824754ad02
"river water, regionalized, KZ",m3,kg,1000.0,added,ff9cb647-69fb-4594-a43a-0e1bf25301a2
"river water to turbine, regionalized, NG",m3,kg,1000.0,added,ff9fb698-387b-46c2-a1c4-9fb8fbfc556d
Water,kg,m3,0.0010,added,09333058-7adb-4965-aa9f-7d7f7aa47de6
sea water,m3,kg,1000.0,added,172a3db9-6556-11dd-ad8b-0800200c9a66
"freshwater, high scarcity",kg,m3,0.0010,added,37702761-15ed-4cff-a726-7c752f867a86
freshwater,kg,m3,0.0010,added,6e70f994-480b-4836-a605-5f958a3d7ea4
Salt water (obsolete),kg,m3,0.0010,added,707cb3cb-f2bc-463d-a361-b0dc52ba800e
"Water, turbine use, unspecified natural origin",kg,m3,0.0010,added,7a845c58-e575-4729-b7f3-294013fd2172
"freshwater, low scarcity",kg,m3,0.0010,added,a35d84d7-1088-4781-954b-2a36a249a50f
"freshwater, very high scarcity",kg,m3,0.0010,added,bc92d2e1-b258-406d-a3a7-5bf9637f59ea
"freshwater, moderate scarcity",kg,m3,0.0010,added,c4498032-5c69-487a-897f-6ef4dc879a0b
"freshwater, medium scarcity",kg,m3,0.0010,added,ccd01e13-0f92-43ef-88b1-c95392b22abb
Water Cooling sea,m3,kg,1000.0,added,d7011fb9-34d8-413e-af24-110edf48e329
"Water, cooling, unspecified natural origin",kg,m3,0.0010,added,e412ed0d-8a14-4eea-a9f5-f966517360c0
